epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,8.62648,0.77806,0.88209,0.97446,0.99194,1,0.995,0.6457,1.25789,1.16306,1.23796,0.0008516,0.0008516,0.0008516
60,8.75972,0.95291,0.93705,1.04888,0.99194,1,0.995,0.6457,1.25789,1.16306,1.23796,0.0008318,0.0008318,0.0008318
61,8.99194,0.84595,0.9224,0.99379,0.99194,1,0.995,0.6457,1.25789,1.16306,1.23796,0.000812,0.000812,0.000812
62,9.13069,0.77212,0.84252,0.933,1,0.98415,0.995,0.6775,1.24746,1.34453,1.21261,0.0007922,0.0007922,0.0007922
63,9.26943,0.84003,0.94529,0.93079,1,0.98415,0.995,0.6775,1.24746,1.34453,1.21261,0.0007724,0.0007724,0.0007724
64,9.40906,0.81876,0.89577,0.98098,1,0.98415,0.995,0.6775,1.24746,1.34453,1.21261,0.0007526,0.0007526,0.0007526
65,9.54632,0.75207,0.84257,0.91077,1,0.98415,0.995,0.6775,1.24746,1.34453,1.21261,0.0007328,0.0007328,0.0007328
66,9.69129,0.8166,0.84687,0.95588,0.99686,1,0.995,0.67825,1.30574,1.19933,1.3189,0.000713,0.000713,0.000713
67,9.82945,0.9224,0.85344,0.98961,0.99686,1,0.995,0.67825,1.30574,1.19933,1.3189,0.0006932,0.0006932,0.0006932
68,9.96947,0.87933,0.86549,0.98372,0.99686,1,0.995,0.67825,1.30574,1.19933,1.3189,0.0006734,0.0006734,0.0006734
69,10.1088,0.87654,0.90135,0.9614,0.99686,1,0.995,0.67825,1.30574,1.19933,1.3189,0.0006536,0.0006536,0.0006536
70,10.2548,0.80194,0.8157,0.94345,0.99081,1,0.995,0.67825,1.34296,0.91347,1.39426,0.0006338,0.0006338,0.0006338
71,10.3935,0.72288,0.81102,0.8856,0.99081,1,0.995,0.67825,1.34296,0.91347,1.39426,0.000614,0.000614,0.000614
72,10.5303,0.96133,1.08652,1.07375,0.99081,1,0.995,0.67825,1.34296,0.91347,1.39426,0.0005942,0.0005942,0.0005942
73,10.6677,1.0426,0.93547,1.05487,0.99081,1,0.995,0.67825,1.34296,0.91347,1.39426,0.0005744,0.0005744,0.0005744
74,10.832,0.76113,0.86507,0.88185,0.99041,1,0.995,0.691,1.28187,0.85928,1.34635,0.0005546,0.0005546,0.0005546
75,10.971,0.77083,0.83174,0.96745,0.99041,1,0.995,0.691,1.28187,0.85928,1.34635,0.0005348,0.0005348,0.0005348
76,11.1093,0.80993,0.79527,0.92823,0.99041,1,0.995,0.691,1.28187,0.85928,1.34635,0.000515,0.000515,0.000515
77,11.2506,0.74875,0.81711,0.95573,0.99041,1,0.995,0.691,1.28187,0.85928,1.34635,0.0004952,0.0004952,0.0004952
78,11.398,0.76874,0.78369,0.9139,0.98926,1,0.995,0.676,1.27761,0.81331,1.28926,0.0004754,0.0004754,0.0004754
79,11.5344,0.83862,0.9607,0.98633,0.98926,1,0.995,0.676,1.27761,0.81331,1.28926,0.0004556,0.0004556,0.0004556
80,11.6725,0.8039,0.77219,1.01087,0.98926,1,0.995,0.676,1.27761,0.81331,1.28926,0.0004358,0.0004358,0.0004358
81,11.8096,0.77257,0.79382,0.94892,0.98926,1,0.995,0.676,1.27761,0.81331,1.28926,0.000416,0.000416,0.000416
